This RNA Expression meta-signature was derived from Illumina's BaseSpace Correlation Engine Meta-Analysis app. The analysis aggregated 15 Biosets for SARS day7 post-infection vs control Lung tissue experiments from ten independent studies (GSE40824, GSE40827, GSE49262, GSE49263, GSE50000, GSE50878, GSE51386, GSE51387, GSE64660, GSE68820) and two strains (SARS-CoV MA15, icSARS-CoV). For more go to https://github.com/BioinfoSolutions/Coronavirus_metadata.



The export table from the Meta-Analysis was transformed in the following ways to define this SARS-CoV day7 post-infection lung meta-signature. The bioset-specific gene scores were modified with fold change directionality, then the signed bioset-specific gene scores were averaged for each gene across all biosets for a signed overall score. The genes and scores were then imported using the Fold Change (+/- mode) option to use the directional values and rank."				
				
Gene	Specificity	Abs Score Sum	Score Sum	Score Ave
Nr3c2	10 out of 11	359.5422918	-359.5422918	-32.68566289
Iqca	10 out of 11	359.1873912	-359.1873912	-32.6533992
D830026I12Rik	11 out of 11	358.6072766	-358.6072766	-32.60066151
Tle2	10 out of 11	358.4319976	-358.4319976	-32.58472705
Maob	10 out of 11	357.8283078	-357.8283078	-32.52984616
Pdzd2	10 out of 11	448.2814938	-357.5036182	-32.50032893
A_52_P25357	10 out of 11	357.3885826	-357.3885826	-32.48987114
Tspan12	9 out of 11	357.2041843	-357.2041843	-32.47310766
Ces1g	9 out of 11	357.0659205	-357.0659205	-32.46053823
Scn5a	10 out of 11	356.8876671	-356.8876671	-32.44433338
Gm106	10 out of 11	356.5682064	-356.5682064	-32.41529149
Cyp2d9	10 out of 11	356.4813353	-356.4813353	-32.40739412
AK036012	10 out of 11	356.3538486	-356.3538486	-32.39580442
Ramp2	10 out of 11	356.1515057	-356.1515057	-32.37740961
Cpm	8 out of 11	355.9205369	-355.9205369	-32.35641245
AK082620	8 out of 11	355.2188085	-355.2188085	-32.29261895
Zfp704	10 out of 11	355.0984476	-355.0984476	-32.28167705
Tenc1	9 out of 11	354.9476561	-354.9476561	-32.26796873
Epb4.1l5	10 out of 11	354.4925093	-354.4925093	-32.22659175
Pclo	10 out of 11	353.9406825	-353.9406825	-32.17642568
Gdf1	10 out of 11	353.90579	-353.90579	-32.17325364
Tspan13	10 out of 11	353.374785	-353.374785	-32.12498046
Foxa1	10 out of 11	353.0224737	-353.0224737	-32.09295216
Mlxipl	10 out of 11	352.6734692	-352.6734692	-32.06122447
Sord	10 out of 11	352.3131425	-352.3131425	-32.0284675
Hecw2	10 out of 11	351.985803	-351.985803	-31.99870936
C030014L02	10 out of 11	351.9396096	-351.9396096	-31.99450996
Fmo5	10 out of 11	351.1161533	-351.1161533	-31.9196503
432575	10 out of 11	351.0486793	-351.0486793	-31.9135163
