"This RNA Expression meta-signature was derived from Illumina's BaseSpace Correlation Engine Meta-Analysis app. The analysis aggregated 13 Biosets for SARS day1 post-infection vs control Lung tissue experiments from six independent studies (GSE19137, GSE23955 , GSE36969,  GSE49262, GSE49263, GSE50000) and five strains (SARS-CoV GZ02, SARS-CoV HC-SZ-6103, SARS-CoV MA15, SARS-CoV MA15g, SARS-CoV MA15e, SARS-CoV TOR2, SARS-CoV Urbani). For more go to https://github.com/BioinfoSolutions/Coronavirus_metadata.   "		
"The export table from the Meta-Analysis was transformed in the following ways to define this SARS-CoV day1 post-infection lung meta-signature. The bioset-specific gene scores were modified with fold change directionality, then the signed bioset-specific gene scores were averaged for each gene across all biosets for a signed overall score. The genes and scores were then imported using the Fold Change (+/- mode) option."		
		
Gene	Specificity	Score Ave
D930048N14Rik	6 out of 13	-23.75091612
Rptor	9 out of 13	-23.69024718
Lamp3	6 out of 13	-23.68471955
Slc7a4	7 out of 13	-23.6402735
TREM2	6 out of 13	-23.55696755
Slc34a2	7 out of 13	-23.29770863
Dpyd	6 out of 13	-23.2972508
Pdzk1ip1	8 out of 13	-23.29174355
Ear11	7 out of 13	-23.27811505
Akr1b10	9 out of 13	-23.20470523
Plekhd1	5 out of 13	-23.08697154
Lrat	5 out of 13	-23.06718017
Ypel3	9 out of 13	-23.04358597
Meox2	6 out of 13	-23.03752395
A530020G20Rik	7 out of 13	-23.03282648
Pcdh12	6 out of 13	-23.00061727
Fmo2	8 out of 13	-22.93417066
Bmf	7 out of 13	-22.8916636
1190007F08Rik	8 out of 13	-22.89083048
Alcam	7 out of 13	-22.87549528
Pgm2l1	7 out of 13	-22.83546
1190002N15Rik	8 out of 13	-22.81454252
Egfl6	5 out of 13	-22.78613435
L3hypdh	7 out of 13	-22.74888679
Mmab	8 out of 13	-22.72396643
Rab3a	7 out of 13	-22.71986928
Zfp362	8 out of 13	-22.65790162
Ccpg1	9 out of 13	-22.60383412
Wdhd1	6 out of 13	-22.58705931
Elovl1	6 out of 13	-22.57799126
Siglec5	7 out of 13	-22.5711688
Esyt3	9 out of 13	-22.56678796
Synm	6 out of 13	-22.49667502
Cat	7 out of 13	-22.45950254
Pbx3	8 out of 13	-22.4229822
Asf1b	7 out of 13	-22.30423682
Prss8	8 out of 13	-22.26675312
Sspn	9 out of 13	-22.20887934
Nuak1	7 out of 13	-22.16281364
Antxr2	7 out of 13	-22.12835516
Prkcz	7 out of 13	-22.12833941
Trove2	9 out of 13	-22.10082623
2010007H06Rik	8 out of 13	-22.08414982
Galnt2	8 out of 13	-22.07625361
D4Bwg0951e	8 out of 13	-22.04545519
2810410L24Rik	8 out of 13	-22.04093988
Kank2	10 out of 13	-21.95273484
Sort1	9 out of 13	-21.90948885
Nme4	8 out of 13	-21.90311965
Zer1	9 out of 13	-21.86913333
Mesp2	9 out of 13	-21.85231597
Scd2	6 out of 13	-21.80889837
Muc20	7 out of 13	-21.7779176
Plxdc2	6 out of 13	-21.73293698
Arl3	10 out of 13	-21.72634942
Fzd2	6 out of 13	-21.71992313
Specc1l	7 out of 13	-21.70123929
Maob	8 out of 13	-21.67872317
Sftpd	5 out of 13	-21.61949305
Hoxa5	7 out of 13	-21.60635239
Txnrd3	7 out of 13	-21.60512382
Mettl7a1	7 out of 13	-21.60268754
Ppp1r9a	7 out of 13	-21.59005228
Kctd12b	7 out of 13	-21.58523003
Emb	7 out of 13	-21.510212
9630010G10Rik	7 out of 13	-21.50760292
Cdkn2c	6 out of 13	-21.50546641
Ace2	6 out of 13	-21.50357839
Sft2d2	10 out of 13	-21.50323661
Aldh1a7	5 out of 13	-21.47662336
Megf6	7 out of 13	-21.45511309
Cdc25b	7 out of 13	-21.44122703
A_52_P25357	7 out of 13	-21.39586633
Cdh11	9 out of 13	-21.33896166
Hsd17b11	9 out of 13	-21.32822917
D330028D13Rik	7 out of 13	-21.31533847
Pradc1	7 out of 13	-21.29564202
2900052L18Rik	7 out of 13	-21.26912959
Akr7a5	7 out of 13	-21.26275622
Adamts5	7 out of 13	-21.22032693
Fgfr4	7 out of 13	-21.14351821
D630039A03Rik	7 out of 13	-21.11217102
Mblac2	6 out of 13	-21.0866926
Ivns1abp	6 out of 13	-20.97878106
B130024G19Rik	6 out of 13	-20.96017653
Polr2e	9 out of 13	-20.95414846
Sox17	6 out of 13	-20.91162657
Wfdc3	7 out of 13	-20.88051914
Ahr	8 out of 13	-20.8792205
Tmem119	6 out of 13	-20.76732562
Myh10	7 out of 13	-20.74098719
Acot6	7 out of 13	-20.70899453
4930579G22Rik	7 out of 13	-20.70892542
Zfp846	9 out of 13	-20.68944273
Tle2	6 out of 13	-20.62984539
Paip2	9 out of 13	-20.5884393
Myo1e	9 out of 13	-20.49550995
Bmp3	6 out of 13	-20.45148722
Stard9	6 out of 13	-20.42025031
Hist1h2bc	7 out of 13	-20.41026329
Lrrc26	6 out of 13	-20.33436611
Tmem38a	7 out of 13	-20.32527754
Slc5a6	6 out of 13	-20.3194363
2610020H08Rik	7 out of 13	-20.30234726
Ear3	5 out of 13	-20.2776261
Zmym6	8 out of 13	-20.27210145
Mri1	7 out of 13	-20.24676474
0610009L18Rik	6 out of 13	-20.22561252
Fbxl16	6 out of 13	-20.21804096
Baat1	9 out of 13	-20.12252985
6330439K17Rik	7 out of 13	-20.09629422
Sh3bgrl	9 out of 13	-20.03653459
Vars2	7 out of 13	-20.03598456
Cbr2	6 out of 13	-20.00055902
Pm20d1	7 out of 13	-19.98961432
Ptprd	6 out of 13	-19.94480259
Fn3k	5 out of 13	-19.93901738
Pdxk	7 out of 13	-19.92739581
Mex3b	6 out of 13	-19.92675088
Fahd1	8 out of 13	-19.90747227
Ros1	6 out of 13	-19.86169144
Abtb1	7 out of 13	-19.79461113
Mid1ip1	7 out of 13	-19.76974684
Rnaseh2c	9 out of 13	-19.71262956
Frat1	9 out of 13	-19.66730836
Wnt3a	5 out of 13	-19.59429813
8430416G17Rik	7 out of 13	-19.59146631
Tmem9	9 out of 13	-19.5723953
1810010H24Rik	7 out of 13	-19.55908006
Tmem132d	6 out of 13	-19.55336027
Pcolce2	6 out of 13	-19.54642662
AK050061	5 out of 13	-19.52217876
9530003J23Rik	7 out of 13	-19.5104996
Apoa1bp	8 out of 13	-19.49804602
Mia1	7 out of 13	-19.48109889
Klhl17	8 out of 13	-19.45596645
Mtch1	7 out of 13	-19.39399701
Ak1	8 out of 13	-19.38807902
Upk3a	6 out of 13	-19.33684667
Lrrn4	6 out of 13	-19.26826997
Dhrs3	7 out of 13	-19.25408596
Dbp	4 out of 13	-19.25294226
Prdx4	8 out of 13	-19.24289835
Wbp1	8 out of 13	-19.19947093
Dmd	7 out of 13	-19.19562109
Per3	7 out of 13	-19.18670286
Fam134a	8 out of 13	-19.17961253
LOC711432	5 out of 13	-19.15692626
Bphl	7 out of 13	-19.12752657
Fbxl20	9 out of 13	-19.11850252
Tmem109	7 out of 13	-19.0999966
Efs	7 out of 13	-19.07638698
Ankrd24	8 out of 13	-19.05761708
A630012P03Rik	8 out of 13	-19.04828734
Fbxo10	7 out of 13	-19.02803885
Adam28	6 out of 13	-19.02173535
C77370	7 out of 13	-19.0148577
Plin3	7 out of 13	-19.01206804
Dhcr7	7 out of 13	-18.94669416
Pole	9 out of 13	-18.9117805
Rasgrf1	7 out of 13	-18.88453599
Ear10	5 out of 13	-18.86838185
Vamp5	7 out of 13	-18.8488318
Tmprss4	6 out of 13	-18.81185028
Scp2	7 out of 13	-18.81085044
Car8	6 out of 13	-18.77234961
Abca17	4 out of 13	-18.74722816
Gtdc2	6 out of 13	-18.72649635
Ccng2	8 out of 13	-18.71243475
Shh	8 out of 13	-18.68741026
Clec11a	9 out of 13	-18.6837537
Gpr155	10 out of 13	-18.65433014
