"This RNA Expression meta-signature was derived from Illumina's BaseSpace Correlation Engine Meta-Analysis app. The analysis aggregated 15 Biosets for SARS day4 post-infection vs control Lung tissue experiments from twelve independent studies (GSE23955, GSE36969, GSE40824, GSE40827, GSE49262, GSE50000, GSE50878, GSE51386, GSE51387, GSE64660, GSE64661, GSE68820) and four strains (SARS-CoV GZ02, SARS-CoV HC-SZ-6103, SARS-CoV Urbani, SARS-CoV MA15). For more go to https://github.com/BioinfoSolutions/Coronavirus_metadata."		
"The export table from the Meta-Analysis was transformed in the following ways to define this SARS-CoV day4 post-infection lung meta-signature. The bioset-specific gene scores were modified with fold change directionality, then the signed bioset-specific gene scores were averaged for each gene across all biosets for a signed overall score. The genes and scores were then imported using the Fold Change (+/- mode) option to use the directional values and rank."		
		
Gene	Specificity	Score Ave
Ckap2l	10 out of 15	43.48082193
Trip13	9 out of 15	43.47873871
Cpxm1	10 out of 15	43.47602657
Aoah	10 out of 15	43.3985247
Ube2c	9 out of 15	43.35308903
Kntc1	11 out of 15	43.32447639
Hells	13 out of 15	43.21679301
Cdkn1a	9 out of 15	43.15784622
Nfil3	11 out of 15	43.11171538
Retnla	8 out of 15	43.10579471
Tcstv3	11 out of 15	43.09981663
Angptl4	8 out of 15	43.0941044
Mad2l1	11 out of 15	43.04756827
A_52_P318073	9 out of 15	43.03362268
Tyms-ps	10 out of 15	43.01142778
H2-T22	10 out of 15	43.00002127
Inhba	9 out of 15	42.98990569
Timeless	12 out of 15	42.91372243
Serpina3m	8 out of 15	42.86989768
Cenpm	9 out of 15	42.77026693
Ccnb2	9 out of 15	42.71599733
Sct	9 out of 15	42.7056806
Tgfbi	9 out of 15	42.70077623
Tyms	10 out of 15	42.68439919
Cenpw	10 out of 15	42.65260325
Casc5	12 out of 15	42.62178277
Steap4	11 out of 15	42.61387745
Stil	11 out of 15	42.5424912
Tgm1	8 out of 15	42.53370362
Il11	7 out of 15	42.53273018
Ckap4	12 out of 15	42.51736825
Cd300lf	10 out of 15	42.46163059
Oip5	10 out of 15	42.44358683
LOC711078	11 out of 15	42.37017793
D17H6S56E-5	11 out of 15	42.20929178
Gpr65	10 out of 15	42.20097703
Fam26f	10 out of 15	42.11096719
Kif23	13 out of 15	41.97459868
Trim25	11 out of 15	41.87671097
Hist1h2ao	10 out of 15	41.84663714
Clec4d	10 out of 15	41.82455029
Kifc1	10 out of 15	41.78913512
Clca2	8 out of 15	41.78906781
Cdc20	9 out of 15	41.78816075
9130017N09Rik	11 out of 15	41.7067754
4632434I11Rik	11 out of 15	41.62188485
BC055324	12 out of 15	41.57494616
SECTM1	9 out of 15	41.54755126
Tnfaip6	10 out of 15	41.50030402
D2Ertd750e	9 out of 15	41.49359015
Sfn	8 out of 15	41.47555299
Cdca2	9 out of 15	41.29746706
Chek1	11 out of 15	41.25138458
Dscc1	9 out of 15	41.18628288
Plac8	12 out of 15	40.99065213
E2f8	10 out of 15	40.95567454
Gm12250	9 out of 15	40.88860718
Gpr176	9 out of 15	40.80546608
CLCN5	9 out of 15	40.77665714
Ube2t	12 out of 15	40.70775747
Ctps	11 out of 15	40.69945269
Tmem106a	11 out of 15	40.53108957
Nasp	12 out of 15	40.47218267
Atf3	11 out of 15	40.45057333
Mlec	12 out of 15	40.44988324
Mcm10	10 out of 15	40.4415277
GJB4	10 out of 15	40.43481603
Pask	10 out of 15	40.42050756
Selp	9 out of 15	40.41328917
Clca1	10 out of 15	40.40792411
Gdf15	10 out of 15	40.3137701
Plekha4	11 out of 15	40.30643893
SLC7A8	9 out of 15	40.09626049
Gm4951	9 out of 15	40.02920972
Tnfrsf12a	8 out of 15	39.87959857
